Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11
http://purl.obolibrary.org/obo/HP_0025354,Abnormal cellular phenotype,0,http://purl.obolibrary.org/obo/HP_0025354,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011017,Abnormal cellular physiology,1,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025461,Abnormal cell morphology,1,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0025461,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031550,Abnormal flow cytometry test result,1,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0031550,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002916,Abnormality of chromosome segregation,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0002916,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003204,Intracellular accumulation of autofluorescent lipopigment storage material,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003204,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003220,Abnormality of chromosome stability,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003220,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003224,Increased cellular sensitivity to UV light,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003224,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003254,Abnormality of DNA repair,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003254,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003358,Elevated intracellular cystine,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003358,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003575,Increased intracellular sodium,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003575,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004356,Abnormality of lysosomal metabolism,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0004356,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004371,Abnormality of glycosaminoglycan metabolism,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0004371,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011018,Abnormality of the cell cycle,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011018,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011019,Abnormality of chromosome condensation,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011019,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011133,Increased sensitivity to ionizing radiation,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011133,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012103,Abnormality of the mitochondrion,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0012103,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025463,Abnormality of redox activity,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0025463,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031377,Abnormal cell proliferation,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0031377,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031409,Abnormal lymphocyte physiology,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0031409,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032571,Increased oocyte death,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0032571,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032576,Intracellular accumulation of Dol-PP-GlcNAc2Man5,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0032576,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034528,Reduced fibroblast type III procollagen synthesis,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034528,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034687,Impaired cerebroside sulfate hydrolysis,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034687,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034985,Reduced cellular cobalamin uptake,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034985,,,,,,,,
http://purl.obolibrary.org/obo/HP_4000056,Abnormal apoptosis,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_4000056,,,,,,,,
http://purl.obolibrary.org/obo/HP_0020155,Abnormal oocyte morphology,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0025461,http://purl.obolibrary.org/obo/HP_0020155,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031331,Abnormal cardiomyocyte morphology,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0025461,http://purl.obolibrary.org/obo/HP_0031331,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031340,Abnormal lysosomal morphology,2,http://purl.obolibrary.org/obo/HP_0025354,http://purl.obolibrary.org/obo/HP_0025461,http://purl.obolibrary.org/obo/HP_0031340,,,,,,,,
