Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11,Path Node 12,Path Node 13
http://purl.obolibrary.org/obo/HP_0000152,Abnormality of head or neck,0,http://purl.obolibrary.org/obo/HP_0000152,,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000234,Abnormality of the head,1,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000464,Abnormality of the neck,1,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000464,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000271,Abnormality of the face,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000929,Abnormal skull morphology,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000929,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001965,Abnormal scalp morphology,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0001965,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031178,Fixed head retroflexion,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0031178,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_3000036,Abnormal head blood vessel morphology,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_3000036,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_5201015,Craniofacial cleft,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_5201015,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025668,Abnormal neck morphology,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000464,http://purl.obolibrary.org/obo/HP_0025668,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025669,Abnormal neck physiology,2,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000464,http://purl.obolibrary.org/obo/HP_0025669,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000153,Abnormality of the mouth,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000153,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000290,Abnormality of the forehead,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000290,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000306,Abnormality of the chin,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000306,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000309,Abnormal midface morphology,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000309,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000315,Abnormality of the orbital region,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000315,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000366,Abnormality of the nose,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000366,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000606,Abnormality of the periorbital region,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0000606,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001999,Abnormal facial shape,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0001999,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002006,Tessier cleft,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0002006,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004439,Craniofacial dysostosis,3,http://purl.obolibrary.org/obo/HP_0000152,http://purl.obolibrary.org/obo/HP_0000234,http://purl.obolibrary.org/obo/HP_0000271,http://purl.obolibrary.org/obo/HP_0004439,,,,,,,,,
