Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9
http://purl.obolibrary.org/obo/HP_0040064,Abnormality of limbs,0,http://purl.obolibrary.org/obo/HP_0040064,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001218,Autoamputation,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0001218,,,,,,,
http://purl.obolibrary.org/obo/HP_0001528,Hemihypertrophy,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0001528,,,,,,,
http://purl.obolibrary.org/obo/HP_0002814,Abnormality of the lower limb,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0002814,,,,,,,
http://purl.obolibrary.org/obo/HP_0002817,Abnormality of the upper limb,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0002817,,,,,,,
http://purl.obolibrary.org/obo/HP_0007289,Limb fasciculations,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0007289,,,,,,,
http://purl.obolibrary.org/obo/HP_0009127,Abnormality of the musculature of the limbs,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0009127,,,,,,,
http://purl.obolibrary.org/obo/HP_0009815,Aplasia/hypoplasia of the extremities,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0009815,,,,,,,
http://purl.obolibrary.org/obo/HP_0033766,Polymelia,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0033766,,,,,,,
http://purl.obolibrary.org/obo/HP_0040068,Abnormality of limb bone,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0040068,,,,,,,
http://purl.obolibrary.org/obo/HP_0041117,Fractured lower limb segment,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0041117,,,,,,,
http://purl.obolibrary.org/obo/HP_0041118,Fractured upper limb segment,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_0041118,,,,,,,
http://purl.obolibrary.org/obo/HP_6000818,Transverse terminal limb defect,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_6000818,,,,,,,
http://purl.obolibrary.org/obo/HP_6000840,Localized soft-tissue swelling on extremity,1,http://purl.obolibrary.org/obo/HP_0040064,http://purl.obolibrary.org/obo/HP_6000840,,,,,,,
