Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11
http://purl.obolibrary.org/obo/HP_0001939,Abnormality of metabolism/homeostasis,0,http://purl.obolibrary.org/obo/HP_0001939,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001946,Ketosis,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0001946,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003110,Abnormality of urine homeostasis,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010932,Abnormal circulating nucleobase concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0010932,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011017,Abnormal cellular physiology,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011034,Amyloidosis,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012337,Abnormal homeostasis,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0020169,Abnormal drug response,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0020169,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025021,Abnormal erythrocyte sedimentation rate,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0025021,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025454,Abnormal CSF metabolite concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0025454,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025456,Abnormal CSF protein concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0025456,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031685,Abnormal stool composition,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0031685,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031838,Presence of xenobiotic,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0031838,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032180,Abnormal circulating metabolite concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0032180,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032243,Abnormal tissue metabolite concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0032243,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032245,Abnormal metabolism,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0032245,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033012,Abnormal salivary metabolite concentration,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0033012,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033331,Acute phase response,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0033331,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034684,Abnormal enzyme concentration or activity,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0034684,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0430030,Positive infectious agent test,1,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0430030,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001993,Ketoacidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0001946,http://purl.obolibrary.org/obo/HP_0001993,,,,,,,,
http://purl.obolibrary.org/obo/HP_0410175,Hyperketonemia,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0001946,http://purl.obolibrary.org/obo/HP_0410175,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003456,Low urinary cyclic AMP response to PTH administration,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0003456,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003529,Parathormone-independent increased renal tubular calcium reabsorption,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0003529,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012461,Bacteriuria,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0012461,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012591,Abnormal urinary electrolyte concentration,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0012591,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012614,Abnormal urine cytology,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0012614,,,,,,,,
http://purl.obolibrary.org/obo/HP_0020074,Crystalluria,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0020074,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025640,Abnormal urinary mineral level,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0025640,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032943,Abnormal urine pH,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0032943,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033072,Abnormal macroscopic urine appearance,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0033072,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033354,Abnormal urine metabolite level,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0033354,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033358,Abnormal urine osmolality,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0033358,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034889,Positive urine infectious agent nucleic acid test,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0003110,http://purl.obolibrary.org/obo/HP_0034889,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002149,Hyperuricemia,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0010932,http://purl.obolibrary.org/obo/HP_0002149,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003537,Hypouricemia,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0010932,http://purl.obolibrary.org/obo/HP_0003537,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004352,Abnormal circulating purine concentration,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0010932,http://purl.obolibrary.org/obo/HP_0004352,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004353,Abnormal circulating pyrimidine concentration,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0010932,http://purl.obolibrary.org/obo/HP_0004353,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002916,Abnormality of chromosome segregation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0002916,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003204,Intracellular accumulation of autofluorescent lipopigment storage material,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003204,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003220,Abnormality of chromosome stability,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003220,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003224,Increased cellular sensitivity to UV light,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003224,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003254,Abnormality of DNA repair,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003254,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003358,Elevated intracellular cystine,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003358,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003575,Increased intracellular sodium,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0003575,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004356,Abnormality of lysosomal metabolism,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0004356,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004371,Abnormality of glycosaminoglycan metabolism,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0004371,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011018,Abnormality of the cell cycle,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011018,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011019,Abnormality of chromosome condensation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011019,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011133,Increased sensitivity to ionizing radiation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0011133,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012103,Abnormality of the mitochondrion,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0012103,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025463,Abnormality of redox activity,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0025463,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031377,Abnormal cell proliferation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0031377,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031409,Abnormal lymphocyte physiology,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0031409,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032571,Increased oocyte death,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0032571,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032576,Intracellular accumulation of Dol-PP-GlcNAc2Man5,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0032576,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034528,Reduced fibroblast type III procollagen synthesis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034528,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034687,Impaired cerebroside sulfate hydrolysis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034687,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034985,Reduced cellular cobalamin uptake,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_0034985,,,,,,,,
http://purl.obolibrary.org/obo/HP_4000056,Abnormal apoptosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011017,http://purl.obolibrary.org/obo/HP_4000056,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001917,Renal amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0001917,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003216,Generalized amyloid deposition,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0003216,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010637,Conjunctival amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0010637,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011970,Cerebral amyloid angiopathy,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0011970,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012280,Hepatic amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0012280,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012309,Cutaneous amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0012309,,,,,,,,
http://purl.obolibrary.org/obo/HP_0030843,Cardiac amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0030843,,,,,,,,
http://purl.obolibrary.org/obo/HP_0033247,Pulmonary amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0033247,,,,,,,,
http://purl.obolibrary.org/obo/HP_0034701,Corneal amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0034701,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100292,Amyloidosis of peripheral nerves,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_0100292,,,,,,,,
http://purl.obolibrary.org/obo/HP_4000041,AA amyloidosis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_4000041,,,,,,,,
http://purl.obolibrary.org/obo/HP_6000815,Amyloid goiter,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_6000815,,,,,,,,
http://purl.obolibrary.org/obo/HP_6001100,Positive serum amyloid P scintigraphy,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0011034,http://purl.obolibrary.org/obo/HP_6001100,,,,,,,,
http://purl.obolibrary.org/obo/HP_0003142,Excessive purine production,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0003142,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004360,Abnormality of acid-base homeostasis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0004360,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004370,Abnormality of temperature regulation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0004370,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011014,Abnormal glucose homeostasis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0011014,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011032,Abnormality of fluid regulation,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0011032,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012338,Abnormal energy expenditure,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0012338,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012537,Food intolerance,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0012537,,,,,,,,
http://purl.obolibrary.org/obo/HP_0040127,Abnormal sweat homeostasis,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_0040127,,,,,,,,
http://purl.obolibrary.org/obo/HP_6000235,Inappropriately low concentration of acetoacetate,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_6000235,,,,,,,,
http://purl.obolibrary.org/obo/HP_6000236,Inappropriately low concentration of beta-hydroxybutyrate,2,http://purl.obolibrary.org/obo/HP_0001939,http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/HP_6000236,,,,,,,,
