Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10
http://purl.obolibrary.org/obo/HP_0001626,Abnormality of the cardiovascular system,0,http://purl.obolibrary.org/obo/HP_0001626,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002597,Abnormality of the vasculature,1,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011025,Abnormal cardiovascular system physiology,1,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,,,,,,,,
http://purl.obolibrary.org/obo/HP_0030680,Abnormal cardiovascular system morphology,1,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0030680,,,,,,,,
http://purl.obolibrary.org/obo/HP_0500015,Abnormal cardiac test,1,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0500015,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004930,Abnormality of the pulmonary vasculature,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0004930,,,,,,,
http://purl.obolibrary.org/obo/HP_0006707,Abnormality of the hepatic vasculature,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0006707,,,,,,,
http://purl.obolibrary.org/obo/HP_0008047,Abnormality of the vasculature of the eye,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0008047,,,,,,,
http://purl.obolibrary.org/obo/HP_0011276,Vascular skin abnormality,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0011276,,,,,,,
http://purl.obolibrary.org/obo/HP_0025015,Abnormal vascular morphology,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0025015,,,,,,,
http://purl.obolibrary.org/obo/HP_0030163,Abnormal vascular physiology,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0030163,,,,,,,
http://purl.obolibrary.org/obo/HP_0100742,Vascular neoplasm,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0100742,,,,,,,
http://purl.obolibrary.org/obo/HP_0100763,Abnormality of the lymphatic system,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0002597,http://purl.obolibrary.org/obo/HP_0100763,,,,,,,
http://purl.obolibrary.org/obo/HP_0001279,Syncope,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/HP_0001279,,,,,,,
http://purl.obolibrary.org/obo/HP_0001635,Congestive heart failure,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/HP_0001635,,,,,,,
http://purl.obolibrary.org/obo/HP_0001681,Angina pectoris,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/HP_0001681,,,,,,,
http://purl.obolibrary.org/obo/HP_0006673,Reduced systolic function,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/HP_0006673,,,,,,,
http://purl.obolibrary.org/obo/HP_0011028,Abnormality of blood circulation,2,http://purl.obolibrary.org/obo/HP_0001626,http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/HP_0011028,,,,,,,
