Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8
http://purl.obolibrary.org/obo/HP_0000598,Abnormality of the ear,0,http://purl.obolibrary.org/obo/HP_0000598,,,,,,,
http://purl.obolibrary.org/obo/HP_0031703,Abnormal ear morphology,1,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,,,,,,
http://purl.obolibrary.org/obo/HP_0031704,Abnormal ear physiology,1,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,,,,,,
http://purl.obolibrary.org/obo/HP_0000356,Abnormality of the outer ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,,,,,
http://purl.obolibrary.org/obo/HP_0000359,Abnormality of the inner ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000359,,,,,
http://purl.obolibrary.org/obo/HP_0000370,Abnormality of the middle ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000370,,,,,
http://purl.obolibrary.org/obo/HP_0008771,Aplasia/Hypoplasia of the ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0008771,,,,,
http://purl.obolibrary.org/obo/HP_0012780,Neoplasm of the ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0012780,,,,,
http://purl.obolibrary.org/obo/HP_0000364,Hearing abnormality,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0000364,,,,,
http://purl.obolibrary.org/obo/HP_0011389,Functional abnormality of the inner ear,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0011389,,,,,
http://purl.obolibrary.org/obo/HP_0030766,Ear pain,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0030766,,,,,
http://purl.obolibrary.org/obo/HP_6000015,Tympanic membrane hypermobility,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_6000015,,,,,
http://purl.obolibrary.org/obo/HP_6000043,Rhythmic movements of the tympanic membrane,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_6000043,,,,,
http://purl.obolibrary.org/obo/HP_6000182,Absent otoacoustic emissions,2,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_6000182,,,,,
http://purl.obolibrary.org/obo/HP_0000372,Abnormal auditory canal morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0000372,,,,
http://purl.obolibrary.org/obo/HP_0000377,Abnormal pinna morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0000377,,,,
http://purl.obolibrary.org/obo/HP_0040090,Abnormal tympanic membrane morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0040090,,,,
http://purl.obolibrary.org/obo/HP_0040095,Neoplasm of the outer ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0040095,,,,
http://purl.obolibrary.org/obo/HP_0011390,Abnormal inner ear morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000359,http://purl.obolibrary.org/obo/HP_0011390,,,,
http://purl.obolibrary.org/obo/HP_0040096,Neoplasm of the inner ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000359,http://purl.obolibrary.org/obo/HP_0040096,,,,
http://purl.obolibrary.org/obo/HP_0040099,Abnormality of the round window,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000359,http://purl.obolibrary.org/obo/HP_0040099,,,,
http://purl.obolibrary.org/obo/HP_0040100,Abnormality of the vestibular window,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000359,http://purl.obolibrary.org/obo/HP_0040100,,,,
http://purl.obolibrary.org/obo/HP_0008609,Abnormal middle ear morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000370,http://purl.obolibrary.org/obo/HP_0008609,,,,
http://purl.obolibrary.org/obo/HP_0011452,Functional abnormality of the middle ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000370,http://purl.obolibrary.org/obo/HP_0011452,,,,
http://purl.obolibrary.org/obo/HP_0040115,Abnormal Eustachian tube morphology,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000370,http://purl.obolibrary.org/obo/HP_0040115,,,,
http://purl.obolibrary.org/obo/HP_0100799,Neoplasm of the middle ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000370,http://purl.obolibrary.org/obo/HP_0100799,,,,
http://purl.obolibrary.org/obo/HP_0008772,Aplasia/Hypoplasia of the external ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0008771,http://purl.obolibrary.org/obo/HP_0008772,,,,
http://purl.obolibrary.org/obo/HP_0008773,Aplasia/Hypoplasia of the middle ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0008771,http://purl.obolibrary.org/obo/HP_0008773,,,,
http://purl.obolibrary.org/obo/HP_0008774,Aplasia/Hypoplasia of the inner ear,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0008771,http://purl.obolibrary.org/obo/HP_0008774,,,,
http://purl.obolibrary.org/obo/HP_0000360,Tinnitus,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0000364,http://purl.obolibrary.org/obo/HP_0000360,,,,
http://purl.obolibrary.org/obo/HP_0000365,Hearing impairment,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0000364,http://purl.obolibrary.org/obo/HP_0000365,,,,
http://purl.obolibrary.org/obo/HP_0001963,Abnormal speech discrimination,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0000364,http://purl.obolibrary.org/obo/HP_0001963,,,,
http://purl.obolibrary.org/obo/HP_6000032,Autophony,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0000364,http://purl.obolibrary.org/obo/HP_6000032,,,,
http://purl.obolibrary.org/obo/HP_0000407,Sensorineural hearing impairment,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0011389,http://purl.obolibrary.org/obo/HP_0000407,,,,
http://purl.obolibrary.org/obo/HP_0001751,Abnormal vestibular function,3,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031704,http://purl.obolibrary.org/obo/HP_0011389,http://purl.obolibrary.org/obo/HP_0001751,,,,
http://purl.obolibrary.org/obo/HP_0000402,Stenosis of the external auditory canal,4,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0000372,http://purl.obolibrary.org/obo/HP_0000402,,,
http://purl.obolibrary.org/obo/HP_0000413,Atresia of the external auditory canal,4,http://purl.obolibrary.org/obo/HP_0000598,http://purl.obolibrary.org/obo/HP_0031703,http://purl.obolibrary.org/obo/HP_0000356,http://purl.obolibrary.org/obo/HP_0000372,http://purl.obolibrary.org/obo/HP_0000413,,,
