Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8
http://purl.obolibrary.org/obo/HP_0000818,Abnormality of the endocrine system,0,http://purl.obolibrary.org/obo/HP_0000818,,,,,,,
http://purl.obolibrary.org/obo/HP_0000777,Abnormal thymus morphology,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000777,,,,,,
http://purl.obolibrary.org/obo/HP_0000819,Diabetes mellitus,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000819,,,,,,
http://purl.obolibrary.org/obo/HP_0000820,Abnormality of the thyroid gland,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000820,,,,,,
http://purl.obolibrary.org/obo/HP_0000828,Abnormality of the parathyroid gland,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000828,,,,,,
http://purl.obolibrary.org/obo/HP_0000834,Abnormality of the adrenal glands,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000834,,,,,,
http://purl.obolibrary.org/obo/HP_0000847,Abnormality of renin-angiotensin system,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000847,,,,,,
http://purl.obolibrary.org/obo/HP_0000864,Abnormality of the hypothalamus-pituitary axis,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000864,,,,,,
http://purl.obolibrary.org/obo/HP_0000873,Diabetes insipidus,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0000873,,,,,,
http://purl.obolibrary.org/obo/HP_0003117,Abnormal circulating hormone concentration,1,http://purl.obolibrary.org/obo/HP_0000818,http://purl.obolibrary.org/obo/HP_0003117,,,,,,
