Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11,Path Node 12
http://purl.obolibrary.org/obo/HP_0002715,Abnormality of the immune system,0,http://purl.obolibrary.org/obo/HP_0002715,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010978,Abnormality of immune system physiology,1,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032251,Abnormal immune system morphology,1,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0032251,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100763,Abnormality of the lymphatic system,1,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0100763,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002721,Immunodeficiency,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0002721,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002958,Immune dysregulation,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0002958,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002960,Autoimmunity,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0002960,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0005368,Abnormality of humoral immunity,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0005368,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010977,Abnormal phagocytosis,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0010977,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011111,Abnormal immune serum protein physiology,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0011111,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012647,Abnormal inflammatory response,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0012647,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031383,Abnormal lymphocyte surface marker expression,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0031383,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031389,Abnormal MHC II surface expression,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0031389,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0031404,Impaired antigen-specific response,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0031404,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032101,Unusual infection,2,http://purl.obolibrary.org/obo/HP_0002715,http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/HP_0032101,,,,,,,,,
