Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10
http://purl.obolibrary.org/obo/HP_0001574,Abnormality of the integument,0,http://purl.obolibrary.org/obo/HP_0001574,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000951,Abnormality of the skin,1,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0000951,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011138,Abnormal skin adnexa morphology,1,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0011138,,,,,,,,
http://purl.obolibrary.org/obo/HP_0025276,Abnormality of skin adnexa physiology,1,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0025276,,,,,,,,
http://purl.obolibrary.org/obo/HP_3000013,Abnormal platysma muscle morphology,1,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_3000013,,,,,,,,
http://purl.obolibrary.org/obo/HP_0008069,Neoplasm of the skin,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0000951,http://purl.obolibrary.org/obo/HP_0008069,,,,,,,
http://purl.obolibrary.org/obo/HP_0011121,Abnormal skin morphology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0000951,http://purl.obolibrary.org/obo/HP_0011121,,,,,,,
http://purl.obolibrary.org/obo/HP_0011122,Abnormality of skin physiology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0000951,http://purl.obolibrary.org/obo/HP_0011122,,,,,,,
http://purl.obolibrary.org/obo/HP_0031285,Abnormal perifollicular morphology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0000951,http://purl.obolibrary.org/obo/HP_0031285,,,,,,,
http://purl.obolibrary.org/obo/HP_0000971,Abnormal sweat gland morphology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0011138,http://purl.obolibrary.org/obo/HP_0000971,,,,,,,
http://purl.obolibrary.org/obo/HP_0001595,Abnormal hair morphology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0011138,http://purl.obolibrary.org/obo/HP_0001595,,,,,,,
http://purl.obolibrary.org/obo/HP_0001597,Abnormal nail morphology,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0011138,http://purl.obolibrary.org/obo/HP_0001597,,,,,,,
http://purl.obolibrary.org/obo/HP_0012842,Skin appendage neoplasm,2,http://purl.obolibrary.org/obo/HP_0001574,http://purl.obolibrary.org/obo/HP_0011138,http://purl.obolibrary.org/obo/HP_0012842,,,,,,,
