Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7
http://purl.obolibrary.org/obo/HP_0001507,Growth abnormality,0,http://purl.obolibrary.org/obo/HP_0001507,,,,,,
http://purl.obolibrary.org/obo/HP_0000002,Abnormality of body height,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0000002,,,,,
http://purl.obolibrary.org/obo/HP_0001510,Growth delay,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0001510,,,,,
http://purl.obolibrary.org/obo/HP_0004323,Abnormality of body weight,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0004323,,,,,
http://purl.obolibrary.org/obo/HP_0025521,Increased body fat percentage,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0025521,,,,,
http://purl.obolibrary.org/obo/HP_0030853,Heterotaxy,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0030853,,,,,
http://purl.obolibrary.org/obo/HP_0033794,Acral overgrowth,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0033794,,,,,
http://purl.obolibrary.org/obo/HP_0033795,Growth without growth hormone,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0033795,,,,,
http://purl.obolibrary.org/obo/HP_0041079,Decreased body fat percentage,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0041079,,,,,
http://purl.obolibrary.org/obo/HP_0100555,Asymmetric growth,1,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0100555,,,,,
http://purl.obolibrary.org/obo/HP_0000098,Tall stature,2,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0000002,http://purl.obolibrary.org/obo/HP_0000098,,,,
http://purl.obolibrary.org/obo/HP_0004322,Short stature,2,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0000002,http://purl.obolibrary.org/obo/HP_0004322,,,,
http://purl.obolibrary.org/obo/HP_0012772,Abnormal upper to lower segment ratio,2,http://purl.obolibrary.org/obo/HP_0001507,http://purl.obolibrary.org/obo/HP_0000002,http://purl.obolibrary.org/obo/HP_0012772,,,,
