Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9
http://purl.obolibrary.org/obo/HP_0002664,Neoplasm,0,http://purl.obolibrary.org/obo/HP_0002664,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011792,Neoplasm by histology,1,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,,,,,,,
http://purl.obolibrary.org/obo/HP_0011793,Neoplasm by anatomical site,1,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,,,,,,,
http://purl.obolibrary.org/obo/HP_0002861,Melanoma,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0002861,,,,,,
http://purl.obolibrary.org/obo/HP_0002898,Embryonal neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0002898,,,,,,
http://purl.obolibrary.org/obo/HP_0010566,Hamartoma,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0010566,,,,,,
http://purl.obolibrary.org/obo/HP_0012316,Fibrous tissue neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0012316,,,,,,
http://purl.obolibrary.org/obo/HP_0030060,Nervous tissue neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0030060,,,,,,
http://purl.obolibrary.org/obo/HP_0031492,Epithelial neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0031492,,,,,,
http://purl.obolibrary.org/obo/HP_0034557,Rhabdoid tumor,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0034557,,,,,,
http://purl.obolibrary.org/obo/HP_0100242,Sarcoma,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011792,http://purl.obolibrary.org/obo/HP_0100242,,,,,,
http://purl.obolibrary.org/obo/HP_0004375,Neoplasm of the nervous system,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0004375,,,,,,
http://purl.obolibrary.org/obo/HP_0004377,Hematological neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0004377,,,,,,
http://purl.obolibrary.org/obo/HP_0007379,Neoplasm of the genitourinary tract,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0007379,,,,,,
http://purl.obolibrary.org/obo/HP_0008069,Neoplasm of the skin,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0008069,,,,,,
http://purl.obolibrary.org/obo/HP_0009728,Neoplasm of striated muscle,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0009728,,,,,,
http://purl.obolibrary.org/obo/HP_0010622,Neoplasm of the skeletal system,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0010622,,,,,,
http://purl.obolibrary.org/obo/HP_0012288,Neoplasm of head and neck,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0012288,,,,,,
http://purl.obolibrary.org/obo/HP_0012780,Neoplasm of the ear,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0012780,,,,,,
http://purl.obolibrary.org/obo/HP_0031459,Soft tissue neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0031459,,,,,,
http://purl.obolibrary.org/obo/HP_0034930,Digestive system neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0034930,,,,,,
http://purl.obolibrary.org/obo/HP_0100001,Malignant mesothelioma,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100001,,,,,,
http://purl.obolibrary.org/obo/HP_0100012,Neoplasm of the eye,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100012,,,,,,
http://purl.obolibrary.org/obo/HP_0100013,Neoplasm of the breast,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100013,,,,,,
http://purl.obolibrary.org/obo/HP_0100521,Neoplasm of the thymus,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100521,,,,,,
http://purl.obolibrary.org/obo/HP_0100544,Neoplasm of the heart,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100544,,,,,,
http://purl.obolibrary.org/obo/HP_0100568,Neoplasm of the endocrine system,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100568,,,,,,
http://purl.obolibrary.org/obo/HP_0100604,Neoplasm of the lip,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100604,,,,,,
http://purl.obolibrary.org/obo/HP_0100606,Neoplasm of the respiratory system,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100606,,,,,,
http://purl.obolibrary.org/obo/HP_0100742,Vascular neoplasm,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100742,,,,,,
http://purl.obolibrary.org/obo/HP_0100826,Neoplasm of the nail,2,http://purl.obolibrary.org/obo/HP_0002664,http://purl.obolibrary.org/obo/HP_0011793,http://purl.obolibrary.org/obo/HP_0100826,,,,,,
