"term","label"
"http://purl.obolibrary.org/obo/HP_0000002","Abnormality of body height"
"http://purl.obolibrary.org/obo/HP_0000003","Multicystic kidney dysplasia"
"http://purl.obolibrary.org/obo/HP_0000008","Abnormal morphology of female internal genitalia"
"http://purl.obolibrary.org/obo/HP_0000009","Functional abnormality of the bladder"
"http://purl.obolibrary.org/obo/HP_0000010","Recurrent urinary tract infections"
"http://purl.obolibrary.org/obo/HP_0000011","Neurogenic bladder"
"http://purl.obolibrary.org/obo/HP_0000012","Urinary urgency"
"http://purl.obolibrary.org/obo/HP_0000013","Hypoplasia of the uterus"
"http://purl.obolibrary.org/obo/HP_0000014","Abnormality of the bladder"
"http://purl.obolibrary.org/obo/HP_0000015","Bladder diverticulum"
"http://purl.obolibrary.org/obo/HP_0000016","Urinary retention"
"http://purl.obolibrary.org/obo/HP_0000017","Nocturia"
"http://purl.obolibrary.org/obo/HP_0000019","Urinary hesitancy"
"http://purl.obolibrary.org/obo/HP_0000020","Urinary incontinence"
"http://purl.obolibrary.org/obo/HP_0000021","Megacystis"
"http://purl.obolibrary.org/obo/HP_0000022","Abnormal male internal genitalia morphology"
"http://purl.obolibrary.org/obo/HP_0000023","Inguinal hernia"
"http://purl.obolibrary.org/obo/HP_0000024","Prostatitis"
"http://purl.obolibrary.org/obo/HP_0000025","Functional abnormality of male internal genitalia"
"http://purl.obolibrary.org/obo/HP_0000026","Male hypogonadism"
"http://purl.obolibrary.org/obo/HP_0000027","Azoospermia"
"http://purl.obolibrary.org/obo/HP_0000028","Cryptorchidism"
"http://purl.obolibrary.org/obo/HP_0000029","Testicular atrophy"
"http://purl.obolibrary.org/obo/HP_0000030","Testicular gonadoblastoma"
"http://purl.obolibrary.org/obo/HP_0000031","Epididymitis"
"http://purl.obolibrary.org/obo/HP_0000032","Abnormal male external genitalia morphology"
"http://purl.obolibrary.org/obo/HP_0000033","Ambiguous genitalia, male"
"http://purl.obolibrary.org/obo/HP_0000034","Hydrocele testis"
